iter	Passed	Remaining
399	74044	185111
400	74214	184887
401	74391	184683
402	74558	184453
403	74734	184246
404	74908	184033
405	75078	183812
406	75269	183642
407	75429	183396
408	75602	183182
409	75781	182983
410	75977	182827
411	76152	182618
412	76323	182400
413	76488	182168
414	76664	181963
415	76867	181820
416	77070	181678
417	77247	181475
418	77410	181240
419	77589	181042
420	77777	180864
421	77946	180643
422	78117	180427
423	78289	180212
424	78461	179999
425	78650	179824
426	78819	179604
427	79002	179415
428	79197	179256
429	79368	179040
430	79532	178809
431	79718	178629
432	79911	178463
433	80094	178274
434	80285	178104
435	80466	177912
436	80644	177714
437	80823	177516
438	81021	177361
439	81214	177194
440	81384	176978
441	81571	176799
442	81772	176651
443	81942	176435
444	82113	176220
445	82293	176027
446	82456	175796
447	82637	175604
448	82821	175419
449	82982	175186
450	83174	175016
451	83376	174870
452	83544	174650
453	83742	174493
454	83923	174303
455	84121	174146
456	84305	173961
457	84498	173794
458	84684	173613
459	84850	173389
460	85008	173151
461	85196	172974
462	85380	172788
463	85610	172697
464	85810	172543
465	85987	172343
466	86173	172162
467	86365	171992
468	86533	171774
469	86728	171610
470	86881	171365
471	87066	171181
472	87241	170979
473	87424	170791
474	87609	170608
475	87785	170406
476	87961	170206
477	88143	170017
478	88318	169814
479	88481	169589
480	88673	169419
481	88862	169244
482	89053	169072
483	89252	168915
484	89429	168716
485	89620	168544
486	89809	168369
487	89995	168189
488	90175	167995
489	90343	167780
490	90524	167590
491	90714	167415
492	90891	167217
493	91087	167054
494	91254	166839
495	91428	166634
496	91626	166476
497	91808	166286
498	91980	166080
499	92158	165885
500	92337	165690
501	92519	165502
502	92717	165343
503	92897	165150
504	93087	164977
505	93262	164775
506	93439	164578
507	93614	164377
508	93790	164179
509	93955	163962
510	94148	163791
511	94327	163598
512	94498	163392
513	94679	163202
514	94861	163013
515	95014	162777
516	95216	162623
517	95399	162436
518	95603	162286
519	95787	162101
520	95975	161924
521	96154	161730
522	96345	161558
523	96544	161399
524	96750	161250
525	96917	161038
526	97102	160854
527	97268	160640
528	97439	160434
529	97622	160248
530	97803	160059
531	97982	159866
532	98163	159677
533	98339	159479
534	98512	159277
535	98703	159103
536	98876	158902
537	99045	158694
538	99222	158498
539	99422	158340
540	99605	158154
541	99783	157959
542	99951	157750
543	100126	157552
544	100313	157371
545	100507	157204
546	100687	157013
547	100856	156805
548	101011	156577
549	101187	156380
550	101356	156173
551	101527	155970
552	101690	155753
553	101864	155554
554	102031	155344
555	102215	155161
556	102394	154970
557	102567	154770
558	102750	154585
559	102932	154398
560	103107	154201
561	103280	154002
562	103464	153817
563	103639	153621
564	103823	153437
565	104003	153249
566	104187	153065
567	104364	152871
568	104542	152680
569	104725	152494
570	104936	152351
571	105129	152181
572	105300	151978
573	105480	151788
574	105651	151586
575	105841	151412
576	106013	151211
577	106195	151025
578	106391	150859
579	106564	150660
580	106735	150458
581	106907	150258
582	107112	150104
583	107281	149900
584	107469	149722
585	107676	149571
586	107864	149393
587	108032	149187
588	108263	149069
589	108470	148916
590	108650	148728
591	108821	148526
592	108989	148320
593	109157	148115
594	109332	147920
595	109504	147720
596	109690	147539
597	109868	147348
598	110049	147160
599	110246	146995
600	110423	146802
601	110606	146618
602	110784	146426
603	110968	146243
604	111131	146031
605	111297	145824
606	111469	145626
607	111636	145421
608	111809	145223
609	111985	145030
610	112171	144849
611	112341	144649
612	112521	144460
613	112695	144264
614	112865	144064
615	113049	143881
616	113218	143678
617	113424	143524
618	113611	143345
619	113781	143144
620	113971	142969
621	114169	142804
622	114370	142641
623	114548	142451
624	114735	142271
625	114915	142084
626	115090	141890
627	115305	141744
628	115514	141592
629	115720	141435
630	115912	141262
631	116095	141078
632	116314	140937
633	116600	140876
634	116784	140693
635	116947	140483
636	117110	140275
637	117280	140074
638	117497	139930
639	117660	139721
640	117827	139518
641	117978	139295
642	118138	139083
643	118293	138866
644	118454	138656
645	118628	138461
646	118778	138237
647	118948	138039
648	119116	137837
649	119315	137671
650	119520	137512
651	119695	137319
652	119876	137133
653	120051	136940
654	120224	136743
655	120384	136533
656	120574	136357
657	120745	136159
658	120910	135955
659	121085	135762
660	121266	135576
661	121469	135414
662	121652	135230
663	121827	135037
664	121997	134839
665	122175	134649
666	122367	134475
667	122522	134261
668	122714	134086
669	122888	133893
670	123061	133698
671	123251	133522
672	123431	133335
673	123629	133167
674	123826	132999
675	124006	132811
676	124196	132635
677	124382	132454
678	124558	132263
679	124739	132076
680	124919	131889
681	125106	131710
682	125305	131543
683	125503	131374
684	125695	131200
685	125880	131018
686	126063	130834
687	126254	130658
688	126419	130455
689	126599	130268
690	126780	130083
691	126977	129913
692	127164	129733
693	127364	129566
694	127515	129349
695	127723	129191
696	127899	129000
697	128083	128817
698	128268	128635
699	128441	128441
700	128615	128248
701	128794	128060
702	129001	127900
703	129197	127728
704	129388	127552
705	129582	127380
706	129753	127183
707	129934	126998
708	130125	126822
709	130300	126630
710	130481	126443
711	130654	126250
712	130861	126089
713	131036	125897
714	131220	125714
715	131422	125549
716	131600	125360
717	131800	125192
718	131979	125003
719	132206	124861
720	132426	124712
721	132624	124542
722	132809	124359
723	132999	124182
724	133182	123997
725	133364	123812
726	133535	123616
727	133735	123448
728	133942	123286
729	134117	123094
730	134270	122882
731	134456	122701
732	134644	122520
733	134814	122325
734	135008	122150
735	135185	121960
736	135372	121780
737	135575	121613
738	135761	121432
739	135941	121245
740	136138	121072
741	136332	120898
742	136535	120731
743	136745	120571
744	136928	120386
745	137127	120215
746	137327	120047
747	137532	119881
748	137742	119720
749	137940	119548
750	138123	119363
751	138303	119176
752	138504	119006
753	138690	118824
754	138858	118627
755	139052	118451
756	139223	118257
757	139405	118071
758	139582	117881
759	139755	117689
760	139927	117495
761	140121	117319
762	140311	117140
763	140489	116952
764	140673	116768
765	140845	116574
766	141032	116392
767	141211	116204
768	141387	116015
769	141572	115832
770	141757	115649
771	142146	115632
772	142314	115435
773	142483	115238
774	142674	115059
775	142830	114853
776	142969	114632
777	143156	114451
778	143334	114263
779	143507	114070
780	143681	113877
781	143859	113689
782	144050	113510
783	144229	113323
784	144405	113132
785	144598	112955
786	144768	112761
787	144949	112574
788	145143	112398
789	145334	112220
790	145535	112049
791	145709	111857
792	145882	111665
793	146062	111478
794	146254	111300
795	146425	111106
796	146611	110924
797	146789	110736
798	146970	110549
799	147152	110364
800	147350	110190
801	147524	109999
802	147703	109811
803	147872	109617
804	148034	109416
805	148214	109230
806	148385	109036
807	148568	108852
808	148737	108657
809	148894	108454
810	149056	108254
811	149243	108072
812	149418	107882
813	149587	107688
814	149777	107508
815	149954	107320
816	150114	107119
817	150317	106949
818	150506	106769
819	150707	106598
820	150887	106411
821	151075	106230
822	151248	106039
823	151427	105852
824	151611	105668
825	151797	105486
826	151972	105296
827	152147	105106
828	152321	104916
829	152494	104725
830	152676	104540
831	152855	104353
832	153019	104155
833	153186	103961
834	153366	103774
835	153553	103593
836	153717	103396
837	153879	103198
838	154075	103023
839	154251	102834
