iter	Logloss
0	0.6202758883
1	0.5603223493
2	0.5159891508
3	0.4792949426
4	0.4521564151
5	0.4267266785
6	0.4079763407
7	0.3936534251
8	0.3820250258
9	0.3687282659
10	0.3592428522
11	0.3500198708
12	0.3414471524
13	0.3353707938
14	0.3283436142
15	0.3213613971
16	0.3165998275
17	0.3122619712
18	0.3071677293
19	0.3031434103
20	0.3001466175
21	0.29543836
22	0.2924139239
23	0.2893295227
24	0.2859385233
25	0.2833034895
26	0.2814861124
27	0.2794010028
28	0.2766904003
29	0.2757420963
30	0.2737431773
31	0.2716437485
32	0.2708481064
33	0.2691924379
34	0.2678153767
35	0.2671507174
36	0.2658668929
37	0.2639375184
38	0.2626991693
39	0.2613683235
40	0.2598447021
41	0.2592094446
42	0.2577658023
43	0.2566048516
44	0.2549874339
45	0.2537547047
46	0.2529946517
47	0.2523744351
48	0.2505363417
49	0.2498825206
50	0.2488393451
51	0.248007138
52	0.2470397805
53	0.246311576
54	0.2455533177
55	0.2450265614
56	0.2444969973
57	0.2441925875
58	0.243353939
59	0.242541854
60	0.2422531427
61	0.2414381105
62	0.2408328588
63	0.2403023256
64	0.2398259876
65	0.2389123053
66	0.2387306579
67	0.2385105671
68	0.2375279009
69	0.2366762754
70	0.236284742
71	0.236073796
72	0.2353778899
73	0.2348282807
74	0.2337795906
75	0.2326418151
76	0.2318404934
77	0.2308080399
78	0.2306029086
79	0.2301744411
80	0.2293608168
81	0.2286781025
82	0.2282636411
83	0.227841274
84	0.227337896
85	0.2268330943
86	0.2266854775
87	0.2263052894
88	0.2259712095
89	0.2253820758
90	0.2250852129
91	0.2244876639
92	0.2242223724
93	0.223939111
94	0.2238403096
95	0.2234287098
96	0.223101536
97	0.2227666642
98	0.2224686567
99	0.2223233728
100	0.2220750653
101	0.2217310374
102	0.221293565
103	0.2211830978
104	0.2209364749
105	0.2206181251
106	0.2205243228
107	0.2199751291
108	0.2197575213
109	0.2196001279
110	0.2195128775
111	0.2192572407
112	0.2191699132
113	0.2190015434
114	0.2186820296
115	0.2184974165
116	0.2181402286
117	0.2179008397
118	0.2175165954
119	0.2173211189
120	0.2172497479
121	0.217121993
122	0.2168810517
123	0.216807837
124	0.2165687043
125	0.2164835639
126	0.2163803391
127	0.216198695
128	0.2159585327
129	0.2154051079
130	0.215145932
131	0.2148713383
132	0.2143938893
133	0.214212164
134	0.2137387821
135	0.2133633183
136	0.2132770659
137	0.2128796732
138	0.2125641095
139	0.2124943663
140	0.2122799829
141	0.2121853805
142	0.2121193737
143	0.2116587354
144	0.2115736455
145	0.2113917461
146	0.2111584826
147	0.2109421444
148	0.2108681056
149	0.2106560021
150	0.2103670016
151	0.2101910209
152	0.2101183754
153	0.2099669538
154	0.2099168049
155	0.2097521953
156	0.2096871544
157	0.2095957974
158	0.2093293033
159	0.2091633353
160	0.2090809198
161	0.2089447568
162	0.2087958601
163	0.2084997979
164	0.2083093715
165	0.2081134087
166	0.2080283475
167	0.207738473
168	0.2074347189
169	0.2071621001
170	0.2069426514
171	0.2068642793
172	0.2067477744
173	0.2066175408
174	0.2064873683
175	0.2063546907
176	0.206215925
177	0.2060928419
178	0.2059736562
179	0.2057747037
180	0.2056558909
181	0.205418266
182	0.2052807007
183	0.2049666494
184	0.2047223102
